tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
257.00,45429543#3_0,92.23,8.26,181.00,0.00,492471759#3_0,5.10,0.00,tripinfo_181 fcd_181,76.00,181,0,300.33,1.03,0.00,42.81,DEFAULT_VEHTYPE,,2,22.00
258.00,337277957#6_0,116.59,7.70,34.00,0.00,492471759#2_0,5.10,0.00,tripinfo_34 fcd_34,224.00,34,0,963.65,0.99,0.00,106.57,DEFAULT_VEHTYPE,,3,85.00
258.00,49217108#0_0,88.12,8.11,135.00,0.00,337277970#1_0,5.10,0.00,tripinfo_135 fcd_135,123.00,135,0,506.44,1.01,0.00,61.85,DEFAULT_VEHTYPE,,2,35.00
263.00,337277957#6_0,116.59,7.42,72.00,0.00,337277973#1_0,5.10,0.00,tripinfo_72 fcd_72,191.00,72,0,964.75,0.94,0.00,66.65,DEFAULT_VEHTYPE,,2,46.00
267.00,49217108#2_0,87.62,7.94,98.00,0.00,553352498#2_0,5.10,0.00,tripinfo_98 fcd_98,169.00,98,0,739.88,1.12,0.00,89.09,DEFAULT_VEHTYPE,,3,49.00
268.00,45429543#3_0,92.23,6.19,104.00,0.00,42141326#11_0,5.10,0.00,tripinfo_104 fcd_104,164.00,104,0,530.80,0.89,0.00,101.45,DEFAULT_VEHTYPE,,2,70.00
268.00,492471758_0,104.53,5.86,119.00,0.00,542428845#0_0,5.10,0.00,tripinfo_119 fcd_119,149.00,119,0,433.14,1.07,0.00,86.88,DEFAULT_VEHTYPE,,2,73.00
269.00,337277957#5_0,116.07,7.19,50.00,3.00,567060339#3_0,5.10,0.00,tripinfo_47 fcd_47,219.00,47,0,885.01,0.90,0.00,99.20,DEFAULT_VEHTYPE,,3,77.00
273.00,542428845#0_0,99.31,4.73,69.00,0.00,553352498#0_0,5.10,0.00,tripinfo_69 fcd_69,204.00,69,0,992.81,1.02,0.00,87.00,DEFAULT_VEHTYPE,,2,64.00
275.00,337277957#0_1,98.10,7.32,126.00,0.00,45429543#3_0,5.10,0.00,tripinfo_126 fcd_126,149.00,126,0,520.32,1.03,0.00,87.73,DEFAULT_VEHTYPE,,4,52.00
278.00,337277984#6_0,117.79,10.32,167.00,0.00,42143912#2_0,5.10,0.00,tripinfo_167 fcd_167,111.00,167,0,731.00,1.03,0.00,42.21,DEFAULT_VEHTYPE,,2,20.00
278.00,542428844#1_0,40.22,7.77,225.00,0.00,542428845#0_0,5.10,0.00,tripinfo_225 fcd_225,53.00,225,0,146.47,0.97,0.00,34.63,DEFAULT_VEHTYPE,,1,27.00
280.00,42143912#3_0,44.90,6.65,92.00,0.00,42141326#1_0,5.10,0.00,tripinfo_92 fcd_92,188.00,92,0,723.16,0.83,0.00,106.78,DEFAULT_VEHTYPE,,4,82.00
280.00,40668087#3_0,105.69,8.32,230.00,0.00,40668087#1_0,5.10,0.00,tripinfo_230 fcd_230,50.00,230,0,335.30,1.04,0.00,11.08,DEFAULT_VEHTYPE,,1,2.00
283.00,567060342#1_0,65.54,8.12,228.00,0.00,553352498#1_0,5.10,0.00,tripinfo_228 fcd_228,55.00,228,0,440.31,1.09,0.00,6.48,DEFAULT_VEHTYPE,,0,0.00
284.00,42141326#13_0,106.40,8.87,171.00,0.00,553352498#2_0,5.10,0.00,tripinfo_171 fcd_171,113.00,171,0,553.10,0.90,0.00,42.07,DEFAULT_VEHTYPE,,2,25.00
